ID 706,,,,
speaker,Utterance,Orientation about Mathematics,Orientation about Students,Orientation about Interaction
"Mathematics is treated throughout this episode as a creative, student-authored practice governed by internal consistency ('as long as it all adds to the total') rather than exact correspondence to external reality. The flexibility offered  ('it's your problem, so you make it how you want it') frames mathematical expression as genuinely open, and the teacher's engagement with the Bob the Builder idea treats a student's popular culture reference as a productive narrative resource rather than off-task noise. 

Students are positioned as creative mathematical authors with ownership over their work, though the label 'incomplete versus complete' to characterise one group's current output introduces a mild deficit framing by marking the work as not yet meeting an expected standard. 

Interactionally, this episode is the most varied in structure: the teacher circulates between groups, conducting brief one-to-one and small-group exchanges that range from clarifying questions to co-construction to whole-class redirection. ",,,,
Episode 8: Story Development,,,,
student,I only see one.,,,
teacher,We need a little background story here. Where are these people?,Mathematics as requiring narrative context,Students as story-developers whose work needs more narrative context; 'we need' frames the gap as a shared task rather than a student failure,"Treats the quality of student-authored narrative as mathematically consequential, pushing students to develop context rather than just numbers."
student,[By] the elephants.,,,
teacher,"Where are the elephants? Why are they at the zoo? I don't know any of that from what you're writing. Awesome. Listen to my words. Here you have a background ?? or you have background stories, right?",Mathematics as communicative,Students as writers whose mathematical narrative needs to be legible to a reader; 'awesome' affirms what exists before identifying what is missing,"Draws on another student's work as a model, framing peer interaction and prior student contributions as standards for quality."
student,Yeah.,,,
teacher,"You know you're talking about Student L, you know that she's painting something, yes?",Mathematics as contextually grounded,Students as holders of peer narrative models; a classmate's prior work is referenced as a standard,N/A
student,Yeah.,,,
teacher,I know nothing about these people or elephants. Within your word problem you need to give me a little bit of a story. Do you want a new sheet of paper?,N/A,Students as capable of producing richer narrative with a fresh start; the gap is framed as a drafting issue,N/A
student,Mm-hmm.,,,
teacher,Think of a story. Who are these people? Where are they? Why are they [in all this]?,Mathematics as narrative / story-driven,Students as imaginative thinkers capable of constructing narrative context independently; open questions position student as the creative agent,N/A
student,Can we have the pumpkin back 'cause this is too hard?,,,
teacher,"No, you can't switch again.",N/A,"Students as capable of persisting with their current task; switching is not permitted, signalling an expectation that the student can manage the difficulty",N/A
student,So the pumpkins are easier though because [inaudible].,,,
teacher,"Kind of, yeah. Well, let's talk about it together. Let me see the picture. So you say that these people are at the zoo, yes. And they're on an elephant ride, yes. So let's say that your character is the photographer. And the photographer is being paid by these people to take their picture. You with me so far?",N/A,Students as collaborative thinkers who can work through difficulty with teacher support; teacher repositions the struggle as a shared problem to be solved together,"Shifts to co-construction ('let's talk about it together'), positioning collaborative interaction as the means to overcome student difficulty."
student,Yeah.,,,
teacher,Why might the photographer want to know maybe the fraction of people?,Mathematics as purposeful / functional in real-world contexts,Students as capable of reasoning about the purpose of a mathematical quantity in context; open 'why' question positions student as a reasoner,"Elicits student reasoning to drive the story forward, treating student thinking as necessary for narrative and mathematical development."
student,Maybe the government asked to take a video of people to see how entertaining perhaps to monkey. And then they ??,,,
teacher,"Wow, you were really developing a story there. I'm thinking more along the lines of the photographer's being paid, why would he need to know how many people paid 'cause then he knows how many pictures to do what with.",Mathematics as serving a practical purpose; validating student's creative narrative while redirecting toward mathematical relevance (asset-based scaffolding),"Students as imaginative and creative story-developers whose elaborations are explicitly recognised; 'Wow, you were really developing a story there' names the student's contribution as impressive before redirecting toward the mathematical purpose","Explicitly validates the imaginative student contribution before redirecting, treating student creativity as consequential even when steering toward a different narrative."
student,You really don't have to. You just want.,,,N/A
student,So not a complicated story.,,,
teacher,"Just something simple. [If the driver being paid] is like the picture, what else do you think he's probably building? If you pay so much ??",N/A,Students as capable of reasoning through mathematical logic with guiding questions; student remains the source of the mathematical ideas,N/A
student,His name is AJ. He would say to take a picture of the group of family members.,,,
student,Probably they're like in some character some ??,,,
student,"Yeah, 'cause these three are family members and all these people are family members and they was paid to take a picture of them all together because they are probably like family friends.",,,
student,Famous probably.,,,
student,Famous people that paid him $100.00 to take a picture.,,,
student,A professional [inaudible].,,,
teacher,"I like your bringing more numbers into it. So let's say this, the photographer got paid how much?",Mathematics as quantification of real-world situations,Students as mathematical thinkers who spontaneously introduce quantitative elements; 'I like your bringing more numbers into it' explicitly names the student's contribution as valued,N/A
student,$100.00.,,,
teacher,$100.00 in all. And let's say that each person paid ?? how many elephants are there?,N/A,Students as co-constructors of the mathematical problem; teacher elicits rather than provides the key quantities,N/A
student,Three.,,,
teacher,There's three. So each person paid one ??,N/A,Students as capable of reasoning to the unit fraction from contextual information; incomplete sentence structure invites student completion,N/A
student,One third.,,,
teacher,One third of 100. How much did each person ??,N/A,Students as capable of applying fractional reasoning to a real-world division context; again eliciting rather than telling,N/A
student,Pay.,,,
teacher,"?? pay. Do you see? Now you actually have a story. Your photographer is the character. Give a background story 'cause there's people are paying him to take a picture of them on the elephants and you're including math. Not hard, is it? You want a new sheet of paper? Student A, go ahead. Sitting right there. How we doing?","Mathematics as naturally embedded in narrative; mathematics as accessible (""not hard"") - asset-based framing of students' mathematical capacity","Students as capable mathematical story-authors who have just demonstrated achievement; 'Now you actually have a story' marks a moment of completion; 'Not hard, is it?' reframes the student's earlier characterisation of the task as 'too hard'","Frames the completed story as a joint product ('you actually have a story'), validating collaborative interaction as the means to mathematical authorship."
student,[Inaudible].,,,
teacher,Got a little bit more narrow of a focus now?,N/A,N/A,N/A
student,Mm-hmm.,,,
teacher,Good. How we doing?,N/A,N/A,N/A
student,He added a little bit more. There I used [inaudible].,,,
student,You know this is this is supposed to three eighteenths. I added to this. That goes to one eighth.,,,
teacher,"Cause you're doing an [astronaut and this is what it was in]. So there are 18 children wearing ?? eight children wearing blue hats and seven children wearing green. There are 18 kids in all. So what you need to think about is let's look at it as a fraction. I'm gonna use kinda the back here to kinda show some of the work. So 18 children in all, right. [Counting 1 to 18]. Right? There's 18 in all. So eighteen eighteenths is all the kids, right?",Mathematics as reasoning processes,Students as mathematical thinkers who need the part-whole relationship made visible through step-by-step concrete counting; teacher makes the mathematical structure explicit and invites student confirmation at each stage,N/A
student,Mm-hmm.,,,
teacher,Now you said eight of them are wearing ??,N/A,Students as the source of the mathematical data being worked with; 'you said' credits the student's own numbers as the foundation of the mathematical work,"Elicits student completion of the mathematical narrative, positioning student verbal contribution as necessary to move the reasoning forward."
student,Blue.,,,
teacher,Blue hats.,N/A,N/A,
student,"Yeah, blue hats.",,,
teacher,"[Counting 1 to 8]. So all of those kids are wearing blue hats, right?",Mathematics as made concrete through one-to-one counting,Students as capable of verifying mathematical claims through concrete counting; teacher models verification and invites student confirmation,N/A
student,Yeah.,,,
teacher,So 18 minus 8 is what?,Mathematics as procedural computation,Students as capable of performing basic arithmetic computation; posed as a genuine question with student as the calculator,N/A
student,18 minus 8 ??,,,
student,7,,,
student,10,,,
teacher,"10. That leaves ten eighteenths, right. And if I count this I should have ten, right?",Mathematics as verifiable through multiple methods (counting vs. computation),Students as capable of verifying through counting; incorrect answer is not attributed to a named student or publicly corrected — teacher confirms the right answer and moves forward,N/A
student,Yeah.,,,
teacher,"And so you have 9, 10, yes. And then you said seven of the kids were wearing green hats. 1, 2, 3, 4 ?? so that's that. 10 minus 7 is what? Three eighteenths. How many kids are left over? You have just done it. You're trying to do it ?? the way you could do it as just kind of one step is you would say eight eighteenths plus seven eighteenths 'cause that's how many kids are wearing hats in all which would be ??",Mathematics as having multiple solution pathways,"Students as mathematical achievers — 'you have just done it' marks the student's completion of the task; an alternative, more efficient method is introduced as an extension rather than a correction","Presents two methods side by side and elicits the final answer from students, framing student response as consequential to completing the mathematical reasoning."
multiple students,15,,,
teacher,"Fifteen eighteenths, how many kids are left over?",N/A,Students as capable of extending the calculation,N/A
multiple students,Three.,,,
teacher,"That's another way to do it. But either way what you have actually created here is a multi-step problem which is good. That's good. But do you see where you were kinda missing [the boat] 'cause what you're doing here is you're just taking ?? you're subtracting the kids ?? like basically you're saying that these are all the kids that have blue hats on. These are all the kids that have green hats on. You're subtracting the number of kids that have green hats on and the number of kids that have blue hats on. And that's not what you're looking for, is it?",Mathematics as conceptual sense-making beyond procedure,Students as mathematical creators ,"Validates student work as consequential ('what you have actually created') before identifying a conceptual gap, treating student output as a genuine mathematical product."
student,Mm-mmm.,,,
"Mathematics is enacted here as a co-constructed, purposeful practice embedded in narrative i.e. the photographer story is built incrementally through teacher questioning and student contribution, with the teacher eliciting quantities, characters, and reasoning rather than supplying them. This reflects an orientation in which mathematical structure emerges from collaborative sense-making rather than being pre-given. 

Students are positioned across this episode as imaginative collaborators whose contributions are explicitly valued: 'Wow, you were really developing a story there' and 'I like your bringing more numbers into it' name student initiatives as worth building on. ",,,,
Episode 9: Closure & Synthesis,,,,
teacher,"So do you see what ?? you get it? Good? Stop, look, and listen. Hands up, eyes on me, mouths closed. Thank you. Hands down. Raise your hand if your group is finished. That is okay. What I'm going to do is I'm give you about two more minutes left that we have in class today before our other group comes back. And since we're not done today, I'll give you a little bit of time at the beginning of class tomorrow to finish these. Deal?",N/A,Students as workers progressing at different rates; non-completion is treated as a pacing matter rather than a failure; 'deal?' positions students as equal partners in agreeing to the plan,N/A
multiple students,Deal.,,,
teacher,Keep working. How we doing?,N/A,N/A,N/A
student,We're just about finished.,,,
teacher,Just about finished. Good.,N/A,N/A,N/A
student,Should we glue the picture down?,,,
teacher,"No, you're not gonna glue it down.",N/A,N/A,N/A
student,[Inaudible] I was gonna glue it to the bottom.,,,
teacher,"I'm gonna put them up with them, but we're not gonna glue it to the paper.",N/A,N/A,N/A
student,Do you want us to read it over?,,,
teacher,Read over it and make sure that you ??,N/A,Students as self-editors capable of reviewing and improving their own mathematical writing,"Elicits the self-editing standard from students rather than stating it, positioning student self-monitoring as consequential to quality."
student,I only read this one. Two out of three.,,,
teacher,So Teacher S's class have a total. Teacher A's class have a total?,N/A,Teacher elicits the correction rather than making it,N/A
student,Has a total.,,,
teacher,Has a total of six students.,Mathematics as requiring precision in quantitative language,Students as capable of producing precise mathematical language; student's correction is confirmed,N/A
student,You changed it.,,,
teacher,She needs to know how many detention slips to print out for the kid??,N/A,"Students as capable of embedding mathematical problems in relatable, school-based contexts",Maintain student contribution as necessary to complete the formulation.
student,Kid [kids].,,,
teacher,"?? who are not wearing ties. Two thirds of students, how many were wearing ties?",Mathematics as reasoning,Students as critical listeners capable of evaluating the internal logic of a word problem as it is read aloud,N/A
student,Two third of students.,,,
teacher,Two thirds of students.,N/A,Students as needing precise mathematical language modelled; correct form is provided without explicit labelling of the error,N/A
student,[Chapter] two third of students.,,,
teacher,Are what?,N/A,Students as capable of completing the logical statement themselves; incomplete sentence invites student to supply the next element,N/A
student,Are not.,,,
teacher,"Are not wearing ties. How many ?? so you don't want to say how many were in ties. Two thirds of students are not wearing ties. How many students need detention slips, or how many detention slips does she need to print? So let's go back and fix that. So make sure we're clear 'cause really the last sentence in your word problem needs to be what you're actually trying to do, right? Stop, look, and listen. We did really well today. I like we're done. Most of you guys are very close to being done. What I'd like you to do is I'd like you to make a stack on my kidney bean table over there of both your word problem that I gave you and you glued and your word problem that you're coming up with. You've got about ten seconds to get that done. You've got 10, 9, 8, 7, 6. Put it over there as well. Nope, back.","Mathematics as communicative and audience-oriented;
Mathematics as requiring alignment between the problem's narrative and its mathematical question",Students as a collective that 'did really well today'; the class as a whole is characterised positively at closure; 'most of you guys are very close' acknowledges variation without singling out individuals; students' two pieces of work are treated as equally worthy of collecting,"Closes with collective affirmation ('we did really well today'), framing the class as a community whose joint work has been consequential."
student,Where's the pictures?,,,
teacher,"Bring me your picture. 5, 4, 3, 2, 1, 0.",N/A,N/A (classroom management),N/A
"Mathematics is framed in the closing episode as a communicative and logical practice (word problems must be internally coherent, with the final sentence aligned to what is actually being asked). 

Students are positioned as self-editors and language-monitors, with the teacher eliciting corrections to grammatical and mathematical language rather than supplying them, and modelling precise mathematical phrasing without labelling errors explicitly. 

Interactionally, the episode is notable for its collective address: 'we did really well today' characterises the class as a whole in positive terms at the point of closure",,,,
